epoch,step,min,max,mean,std
1,1000,-0.0777490958571434,0.04863568767905235,-0.008546176366508007,0.019113430753350258
2,2000,-0.0970243588089943,0.024137644097208977,-0.017072459682822227,0.020769117400050163
3,3000,-0.09481281042098999,0.07186621427536011,-0.015028649009764194,0.024577094241976738
4,4000,-0.043938048183918,0.04533015191555023,0.004993968643248081,0.009585220366716385
5,5000,-0.048240501433610916,0.05324947461485863,0.006338986102491617,0.012795020826160908
6,6000,-0.0390036441385746,0.058455321937799454,0.0013461424969136715,0.011960484087467194
7,7000,-0.10594774037599564,0.07340341061353683,0.01493585854768753,0.029365573078393936
8,8000,-0.07594829052686691,0.09294452518224716,-0.01367177627980709,0.03241845965385437
9,9000,-0.05449901893734932,0.11865901947021484,0.0006633031298406422,0.018260309472680092
10,10000,-0.1359531283378601,0.04981677234172821,0.00385614694096148,0.023661991581320763
